[2026-03-30T11:31:31.209Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774870291171 → 200 (109ms, 6035472B)
[2026-03-30T11:31:31.209Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (5ms, 133531B)
[2026-03-30T11:31:31.209Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (14ms, 576491B)
[2026-03-30T11:31:31.261Z] GET http://localhost:4000/_next/static/chunks/app/manufacturing/page.js → 200 (5ms, 242539B)
[2026-03-30T11:31:31.485Z] GET http://localhost:4000/api/auth/session → pending (?ms, ?B)
[2026-03-30T11:31:31.485Z] GET http://localhost:4000/api/auth/session → pending (?ms, ?B)
[2026-03-30T11:31:31.582Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:31:31.589Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:32:01.298Z] GET http://localhost:4000/manufacturing/4ad51a9f-d879-4183-88bc-082fc35a144a → pending (?ms, ?B)
[2026-03-30T11:32:01.420Z] GET http://localhost:4000/_next/static/webpack/cc02591abfe87285.webpack.hot-update.json → 200 (4ms, ?B)
[2026-03-30T11:32:01.425Z] GET http://localhost:4000/_next/static/webpack/webpack.cc02591abfe87285.hot-update.js → 200 (1ms, ?B)
[2026-03-30T11:32:01.623Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774870321588 → 200 (2ms, 38176B)
[2026-03-30T11:32:01.624Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774870321588 → 200 (3ms, 56325B)
[2026-03-30T11:32:01.624Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774870321588 → 200 (103ms, 6035472B)
[2026-03-30T11:32:01.624Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (4ms, 133531B)
[2026-03-30T11:32:01.624Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (13ms, 576491B)
[2026-03-30T11:32:01.703Z] GET http://localhost:4000/_next/static/chunks/app/manufacturing/%5Bid%5D/page.js → 200 (10ms, 372588B)
[2026-03-30T11:32:01.897Z] GET http://localhost:4000/api/auth/session → 200 (30ms, 226B)
[2026-03-30T11:32:01.897Z] GET http://localhost:4000/api/auth/session → 200 (9ms, 226B)
[2026-03-30T11:32:01.907Z] GET http://localhost:4000/api/auth/session → 200 (7ms, 226B)
[2026-03-30T11:32:01.914Z] GET http://localhost:4000/api/auth/session → 200 (6ms, 226B)
[2026-03-30T11:40:19.526Z] GET http://localhost:4000/_next/static/webpack/2f3ebf9ededd9be0.webpack.hot-update.json → 200 (2ms, 31B)
[2026-03-30T11:40:19.529Z] GET http://localhost:4000/_next/static/webpack/webpack.2f3ebf9ededd9be0.hot-update.js → 200 (39ms, 858B)
[2026-03-30T11:42:11.837Z] GET http://localhost:4000/manufacturing/4ad51a9f-d879-4183-88bc-082fc35a144a?_rsc=19ic1 → 200 (51ms, ?B)
[2026-03-30T11:42:11.837Z] GET http://localhost:4000/_next/static/webpack/4ad1d41207762f6f.webpack.hot-update.json → 200 (5ms, 44B)
